Transportation ; https://w3id.org/ontouml#relator ;  
BeingSensed ; https://w3id.org/ontouml#role ;  
Wireless Network ; https://w3id.org/ontouml#kind ;  
BeingControlled ; https://w3id.org/ontouml#role ;  
SDU ; https://w3id.org/ontouml#kind ;  
Message ; https://w3id.org/ontouml#role ;  
Train ; https://w3id.org/ontouml#kind ;  
TSR Area ; https://w3id.org/ontouml#kind ;  
On-board System ; https://w3id.org/ontouml#kind ;  
Place ; https://w3id.org/ontouml#role ;  
Train Wheel ; https://w3id.org/ontouml#kind ;  
Communication ; https://w3id.org/ontouml#relator ;  
Controller ; https://w3id.org/ontouml#role ;  
Provider ; https://w3id.org/ontouml#role ;  
Monitor ; https://w3id.org/ontouml#relator ;  
Channel ; https://w3id.org/ontouml#role ;  
Dispatcher ; https://w3id.org/ontouml#kind ;  
RBC ; https://w3id.org/ontouml#kind ;  
Speed/Distance Message ; https://w3id.org/ontouml#kind ;  
Receiver ; https://w3id.org/ontouml#role ;  
SpeedControl ; https://w3id.org/ontouml#relator ;  
MA with TSR ; https://w3id.org/ontouml#kind ;  
Mover ; https://w3id.org/ontouml#role ;  
Control Parameter Communication ; https://w3id.org/ontouml#relator ;  
Sensor ; https://w3id.org/ontouml#role ;  
Insurance Company ; https://w3id.org/ontouml#role ;  
Website ; https://w3id.org/ontouml#kind ;  
Car ; https://w3id.org/ontouml#kind ;  
Car Rental Agreement ; https://w3id.org/ontouml#relator ;  
Passenger Car ; https://w3id.org/ontouml#subkind ;  
Damage Report ; https://w3id.org/ontouml#relator ;  
Adult ; https://w3id.org/ontouml#phase ;  
Marriage ; https://w3id.org/ontouml#relator ;  
Driver ; https://w3id.org/ontouml#role ;  
Car Needing Maintenance ; https://w3id.org/ontouml#phase ;  
Receiver Branch ; https://w3id.org/ontouml#role ;  
Repair Appointment ; https://w3id.org/ontouml#relator ;  
Active Car Rental Agreement ; https://w3id.org/ontouml#phase ;  
Person ; https://w3id.org/ontouml#kind ;  
Trainee ; https://w3id.org/ontouml#role ;  
Rental Insurance ; https://w3id.org/ontouml#relator ;  
Child ; https://w3id.org/ontouml#role ;  
Senior Employee ; https://w3id.org/ontouml#role ;  
Infant ; https://w3id.org/ontouml#phase ;  
Deceased Person ; https://w3id.org/ontouml#phase ;  
Extented Car Rental Agreement ; https://w3id.org/ontouml#phase ;  
Branch ; https://w3id.org/ontouml#subkind ;  
Personal Customer ; https://w3id.org/ontouml#role ;  
Valid Driver's LIcense ; https://w3id.org/ontouml#phase ;  
Sender Branch ; https://w3id.org/ontouml#role ;  
Car Scheduled for Maintenance ; https://w3id.org/ontouml#role ;  
Car Needing Repair ; https://w3id.org/ontouml#phase ;  
Car Agency ; https://w3id.org/ontouml#subkind ;  
Employee ; https://w3id.org/ontouml#role ;  
Car Scheduled for Repair ; https://w3id.org/ontouml#role ;  
Living Person ; https://w3id.org/ontouml#phase ;  
Organization ; https://w3id.org/ontouml#kind ;  
Insurable Item ; https://w3id.org/ontouml#mixin ;  
Website Ownership ; https://w3id.org/ontouml#relator ;  
Car Rental Agreement Closed With Damage ; https://w3id.org/ontouml#role ;  
Teenage ; https://w3id.org/ontouml#phase ;  
Governmental Agency ; https://w3id.org/ontouml#subkind ;  
Man ; https://w3id.org/ontouml#subkind ;  
Expired Driver's License ; https://w3id.org/ontouml#phase ;  
Cargo Car ; https://w3id.org/ontouml#subkind ;  
Employment Contract ; https://w3id.org/ontouml#relator ;  
Online Website ; https://w3id.org/ontouml#phase ;  
Legal Parenthood ; https://w3id.org/ontouml#relator ;  
Closed Car Rental Agreement ; https://w3id.org/ontouml#phase ;  
Car Ownership ; https://w3id.org/ontouml#relator ;  
Licensing Authority ; https://w3id.org/ontouml#subkind ;  
Driver's License ; https://w3id.org/ontouml#relator ;  
Organization Unit ; https://w3id.org/ontouml#subkind ;  
Transfer Agreement ; https://w3id.org/ontouml#relator ;  
Insured Driver ; https://w3id.org/ontouml#role ;  
Woman ; https://w3id.org/ontouml#subkind ;  
Insurance ; https://w3id.org/ontouml#relator ;  
Parent ; https://w3id.org/ontouml#role ;  
Offline Website ; https://w3id.org/ontouml#phase ;  
Junior Employee ; https://w3id.org/ontouml#role ;  
Spouse ; https://w3id.org/ontouml#role ;  
Car Returned with Damage ; https://w3id.org/ontouml#role ;  
Corporate Customer ; https://w3id.org/ontouml#role ;  
Car Production ; https://w3id.org/ontouml#relator ;  
Mid-level Employee ; https://w3id.org/ontouml#role ;  
Service Depot ; https://w3id.org/ontouml#subkind ;  
Customer ; https://w3id.org/ontouml#roleMixin ;  
Transferred Car ; https://w3id.org/ontouml#role ;  
Maintenance Appointment ; https://w3id.org/ontouml#relator ;  
Car Manufacturer ; https://w3id.org/ontouml#role ;  
Functional Car ; https://w3id.org/ontouml#phase ;  
Group ; https://w3id.org/ontouml#collective ;  
Goal ; https://w3id.org/ontouml#kind ;  
Location ; https://w3id.org/ontouml#kind ;  
Report ; https://w3id.org/ontouml#kind ;  
Theoretical ; https://w3id.org/ontouml#mode ;  
Result ; https://w3id.org/ontouml#kind ;  
Experiment ; https://w3id.org/ontouml#kind ;  
Outcome ; https://w3id.org/ontouml#kind ;  
Problem ; https://w3id.org/ontouml#kind ;  
InitialDate ; https://w3id.org/ontouml#datatype ;  
Conclusion ; https://w3id.org/ontouml#kind ;  
Measure ; https://w3id.org/ontouml#kind ;  
EndDate ; https://w3id.org/ontouml#datatype ;  
Reasoning ; https://w3id.org/ontouml#mode ;  
Context ; https://w3id.org/ontouml#kind ;  
Inductive ; https://w3id.org/ontouml#kind ;  
Experimental ; https://w3id.org/ontouml#mode ;  
Hypothesis ; https://w3id.org/ontouml#kind ;  
Person ; https://w3id.org/ontouml#mode ;  
Deductive ; https://w3id.org/ontouml#kind ;  
Precedent ; https://w3id.org/ontouml#kind ;  
Reference ; https://w3id.org/ontouml#kind ;  
Right-Duty to Keep the Intimate Media Object Privately ; https://w3id.org/ontouml#relator ;  
Depicter Person ; https://w3id.org/ontouml#role ;  
Private Intimate Media Object without Consent ; https://w3id.org/ontouml#roleMixin ;  
Private Intimate Media Accessing ; https://w3id.org/ontouml#relator ;  
Duty to Keep the Intimate Media Object Privately ; https://w3id.org/ontouml#mode ;  
Uploaded Private Intimate Media Object without Consent ; https://w3id.org/ontouml#role ;  
Content Consumer ; https://w3id.org/ontouml#role ;  
Upload Private Media Object to the Digital Platform ; https://w3id.org/ontouml#event ;  
Depicted Person with Privacy Violated ; https://w3id.org/ontouml#role ;  
Acessible Digital Platform ; https://w3id.org/ontouml#role ;  
