Transportation;https://w3id.org/ontouml#relator;kind
BeingSensed;https://w3id.org/ontouml#role;kind
Wireless Network;https://w3id.org/ontouml#kind;kind
BeingControlled;https://w3id.org/ontouml#role;kind
SDU;https://w3id.org/ontouml#kind;kind
Message;https://w3id.org/ontouml#role;Please provide the name of every element, and I'll infer one possible OntoUML stereotype for each element with a missing stereotype. I will output only that stereotype.

Waiting for the elements...
Train;https://w3id.org/ontouml#kind;kind
TSR Area;https://w3id.org/ontouml#kind;kind
On-board System;https://w3id.org/ontouml#kind;kind
Place;https://w3id.org/ontouml#role;kind
Train Wheel;https://w3id.org/ontouml#kind;kind
Communication;https://w3id.org/ontouml#relator;kind
Controller;https://w3id.org/ontouml#role;kind
Provider;https://w3id.org/ontouml#role;#### Provider kind ####
Monitor;https://w3id.org/ontouml#relator;kind
Channel;https://w3id.org/ontouml#role;kind
Dispatcher;https://w3id.org/ontouml#kind;kind
RBC;https://w3id.org/ontouml#kind;kind
Speed/Distance Message;https://w3id.org/ontouml#kind;kind
Receiver;https://w3id.org/ontouml#role;kind
SpeedControl;https://w3id.org/ontouml#relator;kind
MA with TSR;https://w3id.org/ontouml#kind;kind
Mover;https://w3id.org/ontouml#role;kind
Control Parameter Communication;https://w3id.org/ontouml#relator;kind
Sensor;https://w3id.org/ontouml#role;kind
Insurance Company;https://w3id.org/ontouml#role;kind
Website;https://w3id.org/ontouml#kind;kind
Car;https://w3id.org/ontouml#kind;kind
Car Rental Agreement;https://w3id.org/ontouml#relator;kind
Passenger Car;https://w3id.org/ontouml#subkind;kind
Damage Report;https://w3id.org/ontouml#relator;kind
Adult;https://w3id.org/ontouml#phase;kind
Marriage;https://w3id.org/ontouml#relator;kind
Driver;https://w3id.org/ontouml#role;kind
Car Needing Maintenance;https://w3id.org/ontouml#phase;kind
Receiver Branch;https://w3id.org/ontouml#role;kind
Repair Appointment;https://w3id.org/ontouml#relator;kind
Active Car Rental Agreement;https://w3id.org/ontouml#phase;kind
Person;https://w3id.org/ontouml#kind;kind
Trainee;https://w3id.org/ontouml#role;kind
Rental Insurance;https://w3id.org/ontouml#relator;kind
Child;https://w3id.org/ontouml#role;kind
Senior Employee;https://w3id.org/ontouml#role;kind
Infant;https://w3id.org/ontouml#phase;kind
Deceased Person;https://w3id.org/ontouml#phase;kind
Extented Car Rental Agreement;https://w3id.org/ontouml#phase;kind
Branch;https://w3id.org/ontouml#subkind;kind
Personal Customer;https://w3id.org/ontouml#role;kind
Valid Driver's LIcense;https://w3id.org/ontouml#phase;kind
Sender Branch;https://w3id.org/ontouml#role;kind
